Entity,1990,1995,2000,2005,2010,2015,2020,2024
Afghanistan,57686,71522,75917,87314,102276,339432,144098,98110
Albania,66013,71354,76695,64739,52784,52031,48810,46377
Algeria,273954,262032,250110,197728,217268,239473,250378,259458
American Samoa,21283,23098,24912,24233,23555,23513,23608,23684
Andorra,38891,44206,42147,50298,52053,42264,45574,48408
Angola,33517,39813,46108,62331,336367,632178,656434,676507
Anguilla,2570,3317,4063,4684,5103,5471,5715,5918
Antigua and Barbuda,12029,17550,23071,24741,26412,28082,29386,30473
Argentina,1647935,1589660,1543851,1641560,1799680,1856613,1912294,1958039
Armenia,433541,622042,588242,476812,210873,190896,207139,274645
Aruba,14444,22274,30104,32540,34328,36114,53593,73494
Australia,3991501,4215646,4389847,4880921,5879802,6733056,7604850,8111404
Austria,633753,764758,920045,1174101,1285706,1540486,1781046,2327064
Azerbaijan,402177,588812,523518,301922,251417,224337,198894,218460
Bahamas,26855,31654,36454,45531,54745,59241,63583,67285
Bahrain,176972,213818,238924,387591,643007,721540,785983,840202
Bangladesh,881617,934735,987853,1062270,1345546,1422179,2115408,2906338
Barbados,24024,26224,28424,30624,32825,34475,34869,35187
Belarus,1248977,1186282,1123586,1106982,1090378,1082905,1067090,1054604
Belgium,944340,1003834,1076676,1243352,1567639,1814949,2046975,2349032
Belize,30404,33446,36488,41438,46390,54615,62043,68706
Benin,76751,105703,134655,248320,309225,366284,394276,418202
Bermuda,15683,16676,17684,18108,18547,19212,19739,20171
Bhutan,23807,27972,32137,40279,48420,51106,53612,55705
Bolivia,73758,83598,92658,107745,122846,143008,164121,183234
Bonaire Sint Eustatius and Saba,12930,13508,14233,16980,20559,24610,26454,30676
Bosnia and Herzegovina,56000,69476,82952,47287,38945,38597,36042,34120
Botswana,27510,40168,74934,84661,94863,103053,110268,116402
Brazil,803218,732622,687362,641029,596859,646540,1048866,1406299
British Virgin Islands,8035,10046,12958,15016,17076,19535,22164,24520
Brunei,73200,84748,96296,98441,100587,102733,111959,119933
Bulgaria,21510,32435,43360,61074,76287,123803,184363,299100
Burkina Faso,349652,464104,520363,597658,674438,704676,723989,739820
Burundi,333110,254853,125628,192774,247321,298299,344767,387101
Cambodia,38375,92230,146085,114096,82028,73962,79341,83925
Cameroon,265967,244791,227242,265503,291474,508346,579209,642948
Canada,4251056,4853738,5525404,6086976,7035001,8049874,8332892,8805839
Cape Verde,8931,9979,11027,12700,14373,14924,15788,16515
Cayman Islands,9315,12666,19176,20679,24062,26193,29242,31935
Central African Republic,67234,99712,123529,96409,94685,81568,88546,94556
Central America (UN),1835750,1298418,1095698,1367196,1738911,1935255,2439531,3120680
Central Asia (UN),6300541,4912782,4048262,3978487,3786871,3766652,3822237,3910116
Central and Southern Asia (UN),25456471,20140424,18979217,17615413,18225935,17681574,17736883,20369652
Chad,74342,89584,104825,352130,417034,466968,547494,1269673
Channel Islands,61660,60519,64301,70941,77581,82307,84087,85539
Chile,100133,125754,166608,241522,361531,598039,1476240,1538324
China,518395,610608,720915,853360,1010008,1196007,1415116,1638718
Colombia,100672,109550,109863,110495,126424,145504,1932807,3063518
Comoros,14079,13939,13799,13209,12618,12555,12496,12449
Congo,129391,191635,305880,318724,425173,390142,387606,385589
Cook Islands,2587,2686,2785,3277,3769,4168,4579,4937
Costa Rica,417628,364287,310946,358398,405779,411697,520729,628404
Cote d'Ivoire,1822374,1992981,2157339,2308068,2458796,2609525,2760255,2880839
Croatia,475438,674085,585298,579273,573248,561093,528056,527831
Cuba,34555,26187,18545,11693,7373,4649,3024,2144
Curacao,43150,43150,43150,43150,34630,37611,57210,80020
Cyprus,43805,61941,80076,122849,188472,176693,190366,202062
Czechia,442428,531039,639018,670689,692197,688047,680221,1025199
Democratic Republic of Congo,754194,1816963,744387,623009,589882,810018,952871,1085090
Denmark,235918,298278,372128,423167,509751,616741,718856,847475
Djibouti,122221,99774,100507,92110,102307,112351,119738,125996
Dominica,2519,3121,3723,4744,8110,8093,8284,8440
Dominican Republic,291151,323381,355611,375417,395479,549289,603794,738667
East Timor,8954,9743,10602,11286,11540,8520,8399,8303
Eastern Africa (UN),6347780,5361041,5239557,5141624,4424112,6304660,7528179,8302733
Eastern Asia (UN),4118088,4952397,5921878,6662116,7484060,9237513,10919614,11559387
Eastern Europe (UN),22316123,21705675,20853646,20092493,19389898,17559211,16162524,18646093
Eastern and South-Eastern Asia (UN),6755128,8203094,10530525,12702261,16051107,18869062,21161853,22588980
Ecuador,139204,145626,150585,144415,358874,332142,721560,747749
Egypt,144713,160802,179364,288944,323177,499292,602472,1139820
El Salvador,47360,39537,31713,36029,40342,42059,42767,43342
Equatorial Guinea,2740,3629,4517,6588,8658,209611,230618,248930
Eritrea,11848,12400,12952,15905,15813,15941,13934,12512
Estonia,381997,315755,249512,233701,217890,194664,199277,203046
Eswatini,74991,35157,34084,33392,32637,32352,32858,33268
Ethiopia,875325,478712,311441,170773,227078,797374,875170,1168455
Europe and Northern America (UN),79008202,89861179,99542834,111451697,123517093,131730220,141802488,155259380
European Union (27),24649984,29023930,31944954,38186192,43690985,47117669,54404693,63315939
Falkland Islands,855,868,1067,1166,1436,1571,1957,2333
